filename,FunctionCallCount,ReferencesCount,PointerCount,ArraysCount,TypedefCount,FunctionCount
29618584_63999953.xml,5,0,0,2,22,1
29579543_64002824.xml,8,2,0,2,1,4
29605117_64004827.xml,4,0,0,1,6,1
29571979_64025086.xml,6,0,0,6,1,4
29609021_64003066.xml,6,0,0,0,0,3
29600648_64007349.xml,8,4,0,0,0,1
29602260_64012835.xml,5,0,0,2,2,3
29590787_64006058.xml,8,0,0,1,0,1
29578555_64008154.xml,6,0,0,2,0,4
29615915_64012146.xml,4,0,0,2,1,1
29615723_64016495.xml,10,0,0,3,1,4
29617445_64012247.xml,150,37,0,0,70,69
29580215_64010730.xml,2,0,0,1,0,1
29618687_64004580.xml,3,0,0,0,0,1
29566873_64003520.xml,23,12,0,0,19,9
29571080_64003094.xml,9,4,0,1,0,6
29614036_64013603.xml,2,0,0,1,0,1
29564844_64018643.xml,1,0,0,0,0,1
29578357_64019327.xml,6,0,0,0,0,1
29618299_64010720.xml,3,0,0,2,0,1
29616223_64013254.xml,16,1,0,1,14,4
29619049_64022731.xml,4,0,0,2,0,1
29618217_64005892.xml,3,0,0,4,0,1
29598321_64012002.xml,3,0,0,2,2,1
29600193_64013248.xml,2,0,0,1,1,3
29570599_64014984.xml,5,0,0,1,1,1
29570297_64006254.xml,6,0,0,2,0,2
29564516_64007471.xml,3,0,0,2,0,1
29585675_64002757.xml,3,0,0,1,0,1
29567518_64019077.xml,8,0,0,3,0,1
29596434_64008163.xml,170,106,7,10,9,48
29564846_64014328.xml,4,12,0,2,5,7
29618328_64008071.xml,11,0,0,2,2,3
29617441_64005478.xml,4,2,0,1,0,2
29583065_64008978.xml,4,0,0,1,0,1
29615668_64014806.xml,4,0,0,2,0,1
29618933_64013288.xml,3,0,0,2,0,1
29616954_64014429.xml,3,0,0,0,0,1
29609825_64002990.xml,5,0,0,2,0,1
29591970_64020446.xml,1,0,0,1,0,1
29579054_64012888.xml,4,0,0,2,0,1
29566635_64006920.xml,4,0,0,2,0,1
29617370_64015124.xml,2,0,0,1,2,1
29597630_64006018.xml,5,0,0,2,0,2
29576870_64000268.xml,7,0,0,1,0,2
29571626_64008560.xml,7,0,0,1,0,2
29582598_64010335.xml,4,0,0,1,0,1
29618667_64011667.xml,2,4,0,1,3,6
29586926_64019646.xml,12,0,0,0,0,1
29600558_64016573.xml,4,0,0,2,0,3
29615733_64013253.xml,5,0,0,1,0,1
29615407_64000297.xml,23,1,1,0,0,10
29617814_64004128.xml,4,1,0,6,0,1
29591291_64004733.xml,6,0,0,1,1,1
29564404_64007918.xml,11,3,0,0,0,8
29599738_64016823.xml,9,0,0,2,0,4
29589368_64017847.xml,10,2,0,2,8,3
29588769_64008019.xml,4,0,0,1,1,1
29618023_64004270.xml,8,0,0,1,8,3
29581207_64004085.xml,5,0,0,0,0,1
29596672_64007755.xml,4,0,0,1,0,1
29566044_64014501.xml,8,0,0,2,2,1
29617419_64003913.xml,2,0,0,0,0,1
29620268_64003106.xml,9,0,0,3,2,3
29610441_64011594.xml,1,0,0,3,1,1
29614511_64005742.xml,7,0,0,3,9,4
29615574_64017291.xml,3,0,0,2,0,1
29615482_64018485.xml,11,0,0,2,2,1
29597422_64007808.xml,6,0,0,2,0,2
29589148_64001455.xml,5,0,0,1,0,1
29572787_64014208.xml,2,0,0,1,1,1
29618634_64010805.xml,4,0,0,2,1,1
29606601_64006885.xml,3,0,0,1,1,1
29615376_64014747.xml,4,0,0,1,0,2
29618247_64006171.xml,5,0,0,2,0,2
29614143_64008213.xml,3,0,0,2,1,1
29616600_64004629.xml,6,0,0,2,1,2
29616065_64017253.xml,4,0,0,1,2,3
29606208_64000829.xml,10,6,0,0,0,8
29574756_64008195.xml,5,0,0,2,8,1
29574187_64011262.xml,2,0,0,2,1,1
29618484_64003725.xml,8,0,0,0,0,1
