ParticipantID	Color	Rank	Country	Problem1_id	Problem1_memory	Problem1_time	Problem1_language	Problem2_id	Problem2_memory	Problem2_time	Problem2_language	Problem3_id	Problem3_memory	Problem3_time	Problem3_language	Problem4_id	Problem4_memory	Problem4_time	Problem4_language	Problem5_id	Problem5_memory	Problem5_time	Problem5_language	Problem6_id	Problem6_memory	Problem6_time	Problem6_language
29778591	gray	1	Armenia	64374550	1780	249	Python 3	64376943	352	46	GNU C++17	64382237	144	187	GNU C++17	64384895	8	46	GNU C++17	64391286	7384	374	GNU C++17	64413060	4392	295	GNU C++17
29784051	blue	2	Kazakhstan	64373589	400	31	GNU C++17	64376875	360	62	GNU C++17	64381285	148	171	GNU C++17	64387481	244	46	GNU C++17	64397713	17572	187	GNU C++17	64408846	4836	296	GNU C++17
29750391	blue	3	Iran	64373694	4	46	GNU C++17	64382975	312	31	GNU C++17	64379711	160	217	GNU C++17	64390976	240	46	GNU C++17	64397869	8016	93	GNU C++17	64417229	4072	93	GNU C++17
29784011	blue	4	United States	64408041	12	30	GNU C++14	64410900	60	31	GNU C++14	-	-	-	-	64405340	8	46	GNU C++14	64387912	4812	77	GNU C++14	64399200	4440	373	GNU C++14
29731837	blue	5	Brazil	64373563	8	31	GNU C++11	64376252	168	30	GNU C++11	64392921	16	155	GNU C++11	64382337	8	31	GNU C++11	64386733	30128	249	GNU C++11	-	-	-	-
29735931	black	6	-	64373607	8	46	GNU C++14	64375532	592	15	GNU C++14	64382257	8	46	GNU C++14	64385693	16	46	GNU C++14	64389402	7972	78	GNU C++14	-	-	-	-
29782639	blue	7	-	64373538	8	61	GNU C++11	64376537	92	31	GNU C++11	64380535	4	46	GNU C++11	64385929	1964	46	GNU C++11	64387675	6672	61	GNU C++11	-	-	-	-
29780548	blue	8	China	64381662	224	46	GNU C++11	64399066	0	31	GNU C++11	-	-	-	-	64394275	0	46	GNU C++11	64408229	6020	93	GNU C++11	64416699	43252	405	GNU C++11
29729008	green	9	China	64378360	12	31	GNU C++11	64383882	40	31	GNU C++11	64394999	4	31	GNU C++11	64386198	1036	46	GNU C++11	64380388	6748	46	GNU C++11	-	-	-	-
29779259	black	10	-	64376936	536	31	GNU C++14	64379534	312	31	GNU C++14	64387075	296	46	GNU C++14	64382497	148	46	GNU C++14	64396146	10288	124	GNU C++14	-	-	-	-
29763194	blue	11	-	64374179	12	46	GNU C++11	64379185	64	15	GNU C++11	64388632	4	46	GNU C++11	64383809	8	31	GNU C++11	64395794	7364	171	GNU C++11	-	-	-	-
29784286	black	12	-	64380404	12	46	GNU C++17	64385521	296	31	GNU C++17	64389667	152	31	GNU C++17	64377823	12	46	GNU C++17	64394593	16060	202	GNU C++17	-	-	-	-
29782137	black	13	-	64373751	12	46	GNU C++14	64377760	60	46	GNU C++14	64386828	8	202	GNU C++14	64389605	12	61	GNU C++14	64392997	17144	202	GNU C++14	-	-	-	-
29762224	blue	14	-	64374463	12	30	GNU C++11	64384722	40	31	GNU C++11	64401152	12	124	GNU C++11	64376790	4	31	GNU C++11	64394432	33492	343	GNU C++11	-	-	-	-
29732891	blue	15	Chile	64373629	8	31	GNU C++17	64375586	452	31	GNU C++17	64379896	392	46	GNU C++17	64385883	8	62	GNU C++17	64400786	9924	139	GNU C++17	NO	-	-	-
29782665	blue	16	-	64373483	12	31	GNU C++11	64377602	288	46	GNU C++11	64404188	8	62	GNU C++11	64378335	8	46	GNU C++11	64397002	11264	187	GNU C++11	-	-	-	-
29737096	blue	17	Iran	64374884	12	31	GNU C++17	64378450	176	30	GNU C++17	64390999	148	31	GNU C++17	64383814	8	46	GNU C++17	64396496	12408	108	GNU C++17	-	-	-	-
29737746	blue	18	Россия	64373477	244	31	GNU C++17	64377183	316	31	GNU C++17	64383775	244	31	GNU C++17	64387181	244	31	GNU C++17	64397563	13380	171	GNU C++17	-	-	-	-
29730216	blue	19	China	64375133	12	31	GNU C++17	64379613	24	31	GNU C++17	64397436	8	46	GNU C++17	64382731	8076	46	GNU C++17	64397111	9416	78	GNU C++17	-	-	-	-
29781929	blue	20	Индия	64374905	12	30	GNU C++14	64377830	324	31	GNU C++14	64400046	4	46	GNU C++11	64387786	8	46	GNU C++11	64393509	15136	187	GNU C++14	-	-	-	-
29783475	blue	21	-	64382026	8	30	GNU C++17	64392445	56	31	GNU C++17	64397171	152	30	GNU C++17	64390718	1420	46	GNU C++17	64379669	14160	108	GNU C++17	-	-	-	-
29739350	blue	22	China	64386801	12	30	GNU C++14	64381713	24	31	GNU C++14	64385438	8	61	GNU C++14	64389650	8	46	GNU C++14	64395735	7732	109	GNU C++14	-	-	-	-
29745775	blue	23	Россия	64374041	8	31	GNU C++17	64377267	312	30	GNU C++17	64383000	156	46	GNU C++17	64387462	244	46	GNU C++17	64398705	10616	140	GNU C++17	-	-	-	-
29772626	black	24	-	64376860	12	31	GNU C++11	64383256	44	46	GNU C++11	64405312	140	46	GNU C++11	64378582	4	46	GNU C++11	64394447	4916	46	GNU C++11	-	-	-	-
29727919	blue	25	Индия	64374004	8	31	GNU C++14	64376971	440	31	GNU C++14	64384435	216	46	GNU C++14	64391176	52	46	GNU C++14	64397737	7448	124	GNU C++14	-	-	-	-
29781172	blue	26	Brazil	64375740	400	46	GNU C++14	64380455	224	46	GNU C++14	64388761	152	46	GNU C++14	64393530	8	46	GNU C++14	64395732	8236	109	GNU C++14	-	-	-	-
29735609	blue	27	Индия	64373743	16	46	GNU C++14	64377395	312	15	GNU C++14	64412908	156	31	GNU C++14	64384619	8	31	GNU C++14	64391171	74300	218	GNU C++14	-	-	-	-
