SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
29178497_62979317	1	-	blue	GNU C++17	78	12
29178497_62982231	2	-	blue	GNU C++17	46	408
29178497_62977501	3	-	blue	GNU C++17	46	408
29178497_62994883	4	-	blue	GNU C++17	218	4632
29178497_62985708	6	-	blue	GNU C++17	187	9592
29178497_62993845	7	-	blue	GNU C++17	1184	92468
29138621_62977969	1	China	blue	GNU C++17	93	144
29138621_62980110	2	China	blue	GNU C++17	62	788
29138621_62984679	3	China	blue	GNU C++17	46	796
29138621_62993569	4	China	blue	GNU C++17	202	4
29138621_62998618	7	China	blue	GNU C++17	748	79256
29171429_62978225	1	Spain	blue	GNU C++17	78	4
29171429_62981055	2	Spain	blue	GNU C++17	61	788
29171429_62987113	3	Spain	blue	GNU C++17	31	2564
29171429_62992994	4	Spain	blue	GNU C++17	186	8
29171429_63004376	7	Spain	blue	GNU C++17	1013	62016
29175229_62977588	1	-	blue	GNU C++14	93	8
29175229_62979292	2	-	blue	GNU C++14	61	792
29175229_62992373	3	-	blue	GNU C++14	46	9380
29175229_62997000	4	-	blue	GNU C++14	187	16
29175229_63001516	7	-	blue	GNU C++14	826	59200
29138182_62977692	1	Индия	blue	GNU C++17	77	8
29138182_62979961	2	Индия	blue	GNU C++17	46	400
29138182_62990888	3	Индия	blue	GNU C++17	30	1576
29138182_62994405	4	Индия	blue	GNU C++17	343	16
29138182_63005145	7	Индия	blue	GNU C++17	748	78156
29178199_62977600	1	-	blue	GNU C++14	78	132
29178199_62980992	2	-	blue	GNU C++14	62	536
29178199_62990326	3	-	blue	GNU C++14	46	780
29178199_62997123	4	-	blue	GNU C++14	280	136
29178199_63007254	7	-	blue	GNU C++14	717	62280
29136030_62977679	1	Индия	blue	GNU C++14	77	4
29136030_62979799	2	Индия	blue	GNU C++14	61	780
29136030_62991798	3	Индия	blue	GNU C++14	30	1576
29136030_62999879	4	Индия	blue	GNU C++14	592	152
29136030_63006725	7	Индия	blue	GNU C++14	686	63388
29179520_62978301	1	-	blue	GNU C++11	46	4
