A_name,B_name,A_vec,B_vec
28932160_62463823,28932160_62466599,"[-0.37953958  0.32208234 -0.19397913  0.30227455  0.4379363  -0.06936902
  0.5361651  -0.11508738 -0.2701004   0.02135269 -0.06452888 -0.26179293
 -0.01521194 -0.17915505  0.1618768  -0.08546261 -0.2962205  -0.06490018
  0.08823673  0.22395752 -0.15128006  0.11137602  0.45780256  0.02977644
 -0.08709531 -0.15704341  0.27281693 -0.01648783  0.21067111  0.33247754
  0.24165913 -0.1435371   0.09500065 -0.17986478 -0.1558457  -0.0575459
 -0.1277727  -0.11637282 -0.15750392 -0.29943183 -0.01870619 -0.0478128
  0.26805666  0.04294945 -0.15884013  0.02909156  0.08862402  0.17424245
 -0.15595078 -0.16526416  0.08337898 -0.0034841   0.02665875 -0.03412422
 -0.1686604  -0.03667748  0.15784982  0.34441027 -0.08050711  0.298592
  0.26579612  0.02550344  0.3271589   0.06968008  0.32968864 -0.10399352
 -0.10457713 -0.36220533 -0.07566544 -0.02769364  0.06253088  0.2774679
  0.07582632 -0.13511565  0.30670896  0.23871014  0.14366055 -0.39805228
  0.29910365  0.09024653 -0.24040852  0.18069132 -0.21733265  0.12014657
  0.01046071  0.22026601 -0.27390355 -0.09429546 -0.01510004  0.21925034
 -0.01019642 -0.2242435   0.2014192   0.00661055 -0.13940075  0.11288224
  0.20523325  0.20219527 -0.33333156  0.21455352]","[-0.32168904  0.0720096  -0.4429564   0.10355654  0.18471594 -0.15895756
  0.27537876  0.16879901 -0.10309714 -0.01806335 -0.06534693 -0.1911271
  0.04314759 -0.02871017  0.32661536 -0.32888386 -0.34364754 -0.11742908
  0.053416    0.2892123  -0.01072228  0.05058516  0.3807944  -0.21956924
 -0.10891486 -0.16786952  0.23652065 -0.05398491  0.3380342   0.22968508
  0.14674343 -0.16621628 -0.35833135  0.09551995 -0.15272582 -0.23113877
 -0.11729424  0.07151064 -0.12986735 -0.27563316  0.15434054 -0.1721143
  0.38290176 -0.06334127 -0.03509011  0.11923835 -0.24582562  0.16929351
 -0.2722087  -0.23587497 -0.10562973  0.14324799 -0.03031088 -0.40931776
 -0.27420723 -0.13351192  0.23816366  0.39076972  0.26497674  0.33803284
  0.01197145  0.13087234  0.22733413  0.0178163   0.25626224  0.12580684
 -0.1430446  -0.1526053   0.02163091 -0.16460982 -0.15024371 -0.04051421
  0.11251681  0.02910855  0.15645115  0.40868938  0.11909178 -0.18981612
  0.0036973   0.0575101   0.02854393  0.26545402 -0.35696286 -0.00503854
  0.01891213 -0.11461518 -0.10569435 -0.12864876 -0.31405875  0.41021785
 -0.10090378 -0.14493431 -0.21894656 -0.07818246 -0.00317572 -0.222063
  0.5105878   0.28593478 -0.13254942  0.07544513]"
28911377_62476380,28911377_62478441,"[-0.45804885  0.18050005 -0.11187126  0.2629457   0.13773446 -0.03419551
  0.5554481  -0.10766653 -0.21341227 -0.06826321 -0.00889812 -0.2966545
  0.06770171 -0.01197064  0.2464037   0.01271214 -0.27233982  0.07414241
  0.08501138  0.21144775  0.18658724  0.2215404   0.41418427  0.02512521
  0.20129931 -0.12450889  0.09381771 -0.09455329  0.17535968  0.24366376
  0.18458396 -0.02115191  0.18765983 -0.07178913 -0.17706998 -0.04101192
 -0.15921815 -0.32222822 -0.06190966 -0.21413654 -0.07352417 -0.13975926
  0.12023593  0.25089934 -0.35683233 -0.13552015  0.23133692  0.11556855
 -0.03566774 -0.11479984 -0.12179857 -0.13291468  0.06819501  0.18636748
 -0.09377939 -0.1424856  -0.05169888  0.2371599  -0.07003086  0.02082938
  0.34375048 -0.12977456  0.12247459  0.12897705  0.4479214  -0.3622904
  0.01316523 -0.2840981  -0.11615252 -0.1039613  -0.01351428  0.3840217
  0.12382311 -0.03262553  0.3524193   0.22329517  0.21003266 -0.24344186
  0.35055205  0.18312937 -0.30341578  0.08274685 -0.16629264  0.23238954
  0.22570142 -0.04734909  0.06667992 -0.12378892  0.20449992  0.18718085
  0.23476559 -0.22051339  0.19053046 -0.15885215 -0.31913638  0.22183794
  0.04386948  0.21082914 -0.52243346  0.31115508]","[-0.23319738 -0.06157881 -0.19576462  0.05897194 -0.1228366   0.1454907
  0.6235745   0.31292915 -0.20544319  0.252545   -0.16104689 -0.06451855
 -0.26500377  0.42570576  0.45845428 -0.13138835  0.20741831  0.01279768
  0.01568785  0.23036927  0.31858605  0.10139174  0.19730839 -0.1506655
  0.1434862   0.07926032 -0.38741472 -0.17864014  0.4519542   0.0204008
 -0.03861153 -0.08621457 -0.16238287  0.06366514 -0.18937187 -0.04316777
 -0.21636234 -0.24531059  0.07932951 -0.17913988 -0.14108045 -0.00446202
  0.07490445  0.1845633  -0.22437207 -0.01625041  0.05355989  0.03041527
 -0.27376598 -0.05290193 -0.37389246 -0.20143937  0.2263666  -0.17541757
  0.02976192 -0.28362334 -0.07621638  0.2137708  -0.02878604 -0.30706468
  0.34774217 -0.14861013 -0.00675614  0.03839964  0.4528522  -0.18101129
  0.06561778 -0.14481376  0.02572714 -0.12419061 -0.15794492  0.28574768
  0.38098815  0.08219165  0.20184097  0.03115846  0.33194315 -0.05028234
  0.22091685  0.20237118 -0.01840128 -0.12794536  0.13005596  0.04792695
  0.17518607 -0.3713768   0.12575327 -0.07877003  0.10387747  0.05732394
  0.30093688 -0.3706676  -0.124818   -0.09144594 -0.05411994  0.06602207
 -0.16305621 -0.05500346 -0.33641952  0.09192365]"
28897785_62463800,28897785_62469778,"[-0.38073602  0.42917904  0.09538649  0.04932388 -0.19785924  0.12186492
  0.11222862 -0.06307961  0.4793815   0.03057629 -0.31169707 -0.08333075
  0.11491644 -0.12506628  0.08915172 -0.15301684  0.07171496  0.11811469
  0.35836226  0.2045071   0.05101524 -0.06382615  0.3107534  -0.42483106
 -0.04380072  0.06913906  0.25775108 -0.11128955  0.1350955   0.41004732
 -0.04247284 -0.25665626  0.29050425  0.16083881 -0.20061007  0.0218415
 -0.09019349  0.05007651 -0.3918324   0.05617083  0.02235536 -0.07293945
  0.06586356 -0.15606174  0.06368475 -0.28561017 -0.13901322  0.02248886
 -0.12191214 -0.26320332 -0.25501186 -0.29060346 -0.1484377  -0.06150346
  0.23774524  0.15381397  0.5068036   0.04990468  0.18572801  0.15837152
 -0.02959035 -0.12543498  0.07446275 -0.11459262  0.20933326  0.05077209
  0.03013464 -0.5317692  -0.27389762 -0.07408624 -0.21287191  0.17962149
  0.34024522 -0.5154995  -0.06473139 -0.21189359  0.15943043 -0.21973774
 -0.3055779  -0.1663577   0.2296398  -0.09272685 -0.04672401 -0.09906681
 -0.0835008   0.07275409 -0.01642692 -0.17088015 -0.02751574  0.10478453
 -0.20901403 -0.18558374 -0.07747073  0.21763743  0.5232923  -0.0205964
  0.3102504   0.12166192 -0.22302023 -0.09048593]","[-1.22685753e-01  1.38803467e-01 -8.04143026e-02 -3.96796428e-02
 -2.10936815e-01  5.59913293e-02  1.21604122e-01  1.30775854e-01
  4.13922638e-01  1.26597583e-01 -2.36410901e-01  9.15861204e-02
  4.89712786e-03 -1.35591760e-01  7.39231855e-02 -1.49202049e-01
  1.68076217e-01  1.27608225e-01  3.23680550e-01  6.23277612e-02
  1.64969027e-01 -3.54358912e-01  3.43262583e-01 -3.63692790e-01
 -1.40401900e-01  1.17673546e-01  2.41595833e-03 -2.10962258e-02
  2.10623682e-01  2.02586204e-01 -3.54235977e-01 -4.26678479e-01
 -1.37986094e-01  2.92426497e-01 -4.55703214e-02  2.52432626e-04
  1.11541059e-02  5.41613810e-02 -3.15468997e-01  8.42057168e-02
  2.06025667e-03 -1.03903320e-02  5.82075270e-04 -2.45583788e-01
  1.58651918e-01 -4.01021868e-01 -2.25229412e-01 -8.54395628e-02
 -2.97229528e-01 -2.97326565e-01 -2.84642816e-01 -1.55175656e-01
 -5.95323220e-02 -3.06227922e-01  2.95577049e-01 -3.61710712e-02
  4.37546343e-01 -2.61295531e-02  2.56546885e-01  1.75306976e-01
  4.72159646e-02 -1.79295942e-01  5.22515737e-02 -2.23126099e-01
  1.07425675e-01  2.67934233e-01  1.41487852e-01 -1.93598285e-01
 -2.17868403e-01 -3.02904129e-01 -2.57630050e-01 -9.15352535e-03
  4.77235854e-01 -1.51587382e-01 -6.64560571e-02 -1.85092390e-01
 -4.09018295e-03 -2.56841749e-01 -3.31797659e-01 -2.11529419e-01
  2.44073391e-01 -9.83058214e-02 -1.47026163e-02 -1.20814845e-01
 -1.55141234e-01 -1.60299778e-01 -6.67308196e-02 -9.92214605e-02
 -1.58108756e-01  1.25349998e-01 -3.67007136e-01 -2.35037699e-01
 -2.96472549e-01  2.65415102e-01  6.20475471e-01 -4.76079695e-02
  1.48431554e-01 -2.07352653e-01 -1.24574132e-01 -1.79924458e-01]"
28895003_62466619,28895003_62472738,"[ 1.07973151e-01  6.96985126e-01  2.83196688e-01  5.01438439e-01
  3.87909375e-02  2.17375029e-02  4.65568125e-01 -2.12337613e-01
  3.87639314e-01 -8.52533579e-02 -3.84051114e-01  1.62207391e-02
  4.94951159e-02  3.11001961e-04 -1.13577925e-01 -1.96869716e-01
  1.82198465e-01  2.58157551e-01  3.90647411e-01  2.31498200e-02
  2.35451479e-02 -5.28312564e-01  6.03655219e-01  6.55542850e-01
  4.16387975e-01  4.96035907e-03  1.89991087e-01  1.73945025e-01
  2.00043574e-01  5.33076078e-02  2.85398155e-01 -2.85313260e-02
  2.33184919e-01 -5.47689311e-02 -9.46968570e-02  3.09490591e-01
  4.40590940e-02 -6.42880082e-01 -1.86004803e-01  4.30917114e-01
 -5.10535836e-01 -3.38911742e-01 -4.73257244e-01 -1.17394999e-01
 -7.54749358e-01 -2.64756054e-01  3.66182894e-01 -5.09218037e-01
  4.17969048e-01 -3.64862680e-01 -2.20505983e-01 -4.41024482e-01
  9.37730223e-02 -2.78481662e-01  3.00571740e-01  6.01888597e-02
  8.50801989e-02 -9.39171985e-02  1.98171839e-01 -6.85032368e-01
  5.54012656e-01 -1.08912393e-01  1.25489369e-01  3.61653626e-01
  9.60166976e-02 -3.17291543e-02  5.97293302e-02 -5.33332646e-01
 -3.48667532e-01 -1.65176943e-01 -2.82081842e-01  2.37719327e-01
  4.02611881e-01 -4.04826373e-01  1.19916096e-01  3.10785621e-01
  1.34859100e-01 -1.79270461e-01 -1.12417445e-01  2.40152881e-01
 -2.94090211e-01 -4.29486334e-01 -3.74485821e-01  5.65090954e-01
 -9.02843475e-02  1.28344834e-01 -3.07282090e-01 -2.91980892e-01
 -9.00161266e-02  3.93302500e-01 -2.18791768e-01  4.52210456e-02
  2.35467941e-01  4.03840482e-01  1.92620546e-01  1.49297804e-01
 -4.72971499e-01 -1.90401092e-01 -4.53860641e-01  5.44140816e-01]","[ 0.14805216  0.44550812  0.10261438  0.36055732 -0.20570703  0.19386396
  0.3645868   0.12974592  0.51788867 -0.03022091 -0.35314116 -0.16805184
  0.08557875 -0.00734171  0.15177362 -0.34948614  0.3607274   0.18757372
  0.3136901   0.12450473  0.21855982 -0.5756489   0.4337743   0.3744146
  0.27079037  0.12127487 -0.13500716 -0.00516576  0.37141162  0.05624798
  0.04483956 -0.09457187  0.00376153  0.11048795  0.04545905  0.12055524
  0.06767623 -0.3492087  -0.0875717   0.38476864 -0.22336505 -0.46763843
 -0.22561292 -0.19777612 -0.4190162  -0.31710437  0.31567994 -0.5142676
  0.3779895  -0.36332315 -0.49996445 -0.64929813  0.28645873 -0.40557924
  0.5573358   0.06578451  0.2282348  -0.2180485   0.24486952 -0.6750048
  0.47949535 -0.23935388  0.00253228  0.19633564  0.27220464  0.12768848
  0.00854278 -0.15989475 -0.27548862 -0.12965022 -0.26066193  0.02015343
  0.6390409  -0.29579917  0.14014101  0.2273677  -0.001135    0.00178118
 -0.16852067 -0.06433092 -0.17134507 -0.52300507 -0.27925462  0.30191877
  0.02295832 -0.06790406 -0.06892261 -0.42583516 -0.12244429  0.35886034
 -0.21547255 -0.06351638  0.12630817  0.47981855  0.38193744 -0.06979424
 -0.25406098 -0.24637082 -0.21482106  0.2791481 ]"
28934409_62464784,28934409_62468305,"[-0.62647855  0.08754699 -0.39564916  0.07783619  0.33343992 -0.16124196
  0.20211111 -0.10688491 -0.20773187  0.09258982 -0.1338605  -0.59184015
 -0.0740853  -0.15466128  0.2698851   0.1153473  -0.3520321  -0.04388242
 -0.2556142   0.25701743 -0.03441855  0.15769897  0.3919926  -0.09475251
 -0.06267453 -0.05460174  0.15252663 -0.0654077  -0.01956439  0.60189795
  0.17885607 -0.1968819   0.23541014 -0.00897735 -0.12822023  0.01764411
 -0.20982893 -0.16938147 -0.02188097 -0.31061858 -0.03892662 -0.2298647
  0.34988976  0.19837996 -0.22737376 -0.01660463 -0.0857236   0.30951875
 -0.15732597 -0.19887528  0.01285336 -0.05853869  0.00919424 -0.12261216
  0.1273723   0.11761802  0.11559489  0.22101162 -0.0396049   0.11833971
  0.11562682  0.08748774  0.25534886  0.1768871   0.29182494 -0.12398148
 -0.2424321  -0.4510183   0.17009337  0.04849542  0.11657781  0.3165522
  0.04446246 -0.13285834  0.13256101  0.10270921  0.17715494 -0.30882
  0.14681695  0.24157636 -0.17755717  0.2121772  -0.14226031  0.34515646
  0.07653624  0.07920638 -0.2526837  -0.16949716 -0.06260261  0.3659756
 -0.03052449 -0.16639163 -0.02417332  0.11096149 -0.11726243  0.20515184
  0.3687036   0.21687683 -0.47900525  0.08185865]","[-3.96679640e-01 -4.84925397e-02 -3.71693641e-01 -3.46225570e-05
 -7.70298950e-03 -2.51781102e-03  2.22987965e-01  1.48401156e-01
 -1.85446680e-01  1.97349757e-01 -1.92549840e-01 -2.86125243e-01
 -1.66109040e-01  1.14455275e-01  4.37341213e-01  3.52745913e-02
  4.32401933e-02 -1.04111850e-01 -6.80531561e-02  2.90437400e-01
 -4.11968529e-02  6.13866299e-02  1.10827096e-01 -2.85786301e-01
 -1.48546219e-01  5.02846725e-02 -1.30845919e-01 -2.00587213e-01
  1.91844329e-01  3.83117050e-01 -8.56636465e-02 -1.25240073e-01
  3.84381600e-02  3.38642597e-02 -1.79734915e-01  3.16803576e-03
 -1.82746992e-01 -1.74819250e-02  3.25690620e-02 -3.20169061e-01
  3.42576369e-03 -2.65490673e-02  2.42055461e-01  1.09713562e-01
 -9.65156704e-02  1.07937440e-01 -2.10272089e-01  2.27171689e-01
 -3.40120554e-01 -2.15142965e-01 -1.77871943e-01 -2.02905580e-01
  6.40046820e-02 -1.92106321e-01  1.73402071e-01 -1.22419991e-01
  1.12568110e-01  2.09769309e-01 -9.30795148e-02 -3.57871726e-02
  1.20089315e-01  3.93025402e-04  1.19469658e-01  1.14654832e-01
  4.61464226e-01 -8.69886428e-02 -1.58643559e-01 -3.55379552e-01
  2.21317917e-01  4.41568904e-02 -6.16326667e-02  1.40419573e-01
  2.26720080e-01 -1.93551391e-01  5.45924567e-02 -2.92567480e-02
  2.16903761e-01 -1.53135911e-01  4.11971286e-02  2.48442352e-01
  1.65172908e-02  4.70131114e-02  1.63549691e-01  1.30658746e-01
 -1.41057139e-02 -8.63338634e-02 -1.32496193e-01 -9.14066359e-02
 -5.55886626e-02  2.01128766e-01  1.03313476e-01 -2.75078923e-01
 -3.73850986e-02  1.64165303e-01  5.61547913e-02 -3.97933908e-02
  3.27430159e-01  1.07443593e-01 -2.76098639e-01 -2.63309069e-02]"
28925678_62466802,28925678_62471940,"[-2.84018725e-01  1.59341678e-01 -1.81025505e-01  4.26415503e-01
  4.63366926e-01 -6.16413243e-02  5.17304182e-01 -2.37906620e-01
 -2.67980307e-01 -6.92030713e-02 -5.65572418e-02 -1.94139853e-01
  1.13904946e-01  9.73520875e-02  4.93112281e-02 -1.25390500e-01
 -8.75848308e-02 -3.03957015e-01  7.29192272e-02  4.16916549e-01
 -4.82770577e-02  5.02876304e-02  1.54117242e-01 -5.42604597e-03
 -6.25336617e-02 -7.53829628e-02  3.25694442e-01  2.10454185e-02
  3.33273649e-01  4.22672331e-01  4.97017086e-01 -6.38817251e-02
  1.39361098e-01 -3.75287905e-02 -3.36584747e-01  1.80044711e-01
  2.69058309e-02 -1.77429523e-02 -1.47954747e-01 -2.91962773e-01
 -1.36385992e-01 -1.30049422e-01  1.31238997e-01  1.14920132e-01
 -9.89424661e-02  1.48053229e-01  1.04167826e-01 -6.25451356e-02
 -6.59717917e-02 -1.10446036e-01 -2.24896614e-02 -5.82261607e-02
  1.59069359e-01  4.79242988e-02 -2.92346001e-01 -4.37631942e-02
  2.36788869e-01  2.53794044e-01 -1.33516073e-01  2.38218576e-01
  2.93385714e-01  9.12470743e-02  3.37326586e-01  5.94006218e-02
  3.49041015e-01 -1.05572425e-01 -2.51609594e-01 -4.21009392e-01
 -1.15602814e-01 -8.50350335e-02  4.31147218e-02  2.38691404e-01
  1.31783053e-01 -3.57419431e-01  3.95607054e-01  1.22874163e-01
  2.92458624e-01 -2.18090445e-01  7.92718381e-02  1.65690742e-02
 -2.80356854e-01  7.68208280e-02 -1.99668817e-02  1.61009192e-01
  9.87347215e-02  3.60065907e-01 -2.33548790e-01  4.31630615e-04
  3.60796675e-02  4.05874789e-01 -1.43325850e-01 -9.25477147e-02
  3.86504471e-01  1.25963286e-01 -2.75705427e-01 -7.33809844e-02
  1.57813635e-02  1.18113227e-01 -2.07361147e-01  2.04821944e-01]","[-0.18606834 -0.02924255 -0.34463382  0.2022486  -0.01657346  0.10336932
  0.44390988  0.20537753 -0.2989266   0.1056522  -0.0472852   0.06348022
  0.05301602  0.3254056   0.2468916  -0.07041474  0.13767076 -0.28934383
  0.105671    0.32178408  0.38450783 -0.01375071  0.04007368 -0.2686372
  0.13219152  0.1600638  -0.1298609   0.00767168  0.4927164   0.12696391
  0.1313972  -0.02767172 -0.19083707  0.15380329 -0.38316756  0.04032447
  0.12868057  0.08485407 -0.0168044  -0.1347179  -0.10119781  0.01946048
  0.04448837  0.0619565  -0.057696    0.16935343 -0.15727252 -0.14672498
 -0.2698086  -0.20856129 -0.2468537  -0.09965678  0.11560148 -0.00528219
 -0.12081319 -0.31291994  0.0797296   0.16130248 -0.24593364  0.21275547
  0.24360639 -0.00954632  0.11762104 -0.13215302  0.20886299  0.00057319
 -0.07096392 -0.10740512 -0.00633226 -0.13652387 -0.1199576   0.10598532
  0.40081862  0.02118128  0.3448245   0.04878943  0.32548815 -0.12783955
 -0.14677492 -0.06702992 -0.12196213 -0.14131662  0.1565851  -0.11778231
  0.07620944  0.01645382  0.06334347 -0.01371966  0.03325208  0.3540091
 -0.06817441 -0.1783242   0.02195235  0.14228494 -0.07358939 -0.10915581
 -0.07183263 -0.01962184 -0.06762203  0.14691927]"
28935188_62465170,28935188_62471119,"[-0.58018225  0.16628276 -0.3924826   0.06770758  0.35992715 -0.10756765
  0.14214967 -0.06450001 -0.39159384 -0.21832946 -0.02615678 -0.151878
  0.24262048  0.03180771  0.29128066 -0.1813793   0.1290811  -0.03692177
 -0.07497744  0.44427025 -0.07598572  0.19761485  0.08052195 -0.5970083
 -0.25536093  0.38596085 -0.08710831 -0.19465356 -0.01247585  0.29593945
  0.83797383 -0.16836564  0.28493923  0.03918282 -0.25240856  0.00885578
 -0.23249096 -0.05343023 -0.07031991 -0.22692908 -0.45565245 -0.2833649
  0.43236622  0.28859103 -0.6045365   0.23520385 -0.06259993  0.41475284
 -0.1673896  -0.03375087 -0.03175023 -0.26249006  0.119056    0.02064975
  0.01114339  0.11179509 -0.06194024  0.27587587 -0.23220521  0.13310151
  0.08826571  0.44483748  0.17668205  0.31106454  0.6269633   0.02911738
 -0.12024464 -0.47478163  0.01682794 -0.06718715 -0.11998114  0.06465215
 -0.0753867  -0.24656625  0.30140138 -0.18379664  0.4313771  -0.20327196
  0.0677858   0.12013941 -0.02801354  0.07752322  0.15468341 -0.0266003
 -0.09604342  0.12576102 -0.10657687 -0.04777925 -0.11637874  0.4531005
 -0.04897248 -0.10371431  0.10458185  0.32151783 -0.19517353  0.1142536
  0.27321413  0.26842135 -0.48988733  0.02271884]","[-0.50507057 -0.1779474  -0.773521   -0.23425029  0.01722794 -0.17213167
  0.21806861  0.46306464 -0.3457381  -0.14751908 -0.07315302  0.1489531
  0.18953276  0.39884531  0.4438933  -0.1895865   0.24496755 -0.01182952
  0.29200155  0.3630862   0.19237542  0.0394308  -0.06414102 -0.78365576
 -0.26800403  0.6154409  -0.21898627 -0.21939848  0.147821   -0.17199469
  0.7634484  -0.03724686 -0.23265864  0.15106285 -0.10347063 -0.25071332
 -0.343118   -0.02110001  0.08205125 -0.00954259 -0.2905168  -0.357824
  0.361684    0.33016172 -0.68353224  0.14035742 -0.16302684  0.44282568
 -0.4871577  -0.13866569 -0.17549334 -0.02248879 -0.03305739 -0.4879187
 -0.10936765 -0.25106147 -0.04260211  0.16220766 -0.12941763 -0.0356377
 -0.02372406  0.30081338 -0.00895161 -0.01415472  0.522578    0.08521068
 -0.04128773  0.02774535  0.07661084 -0.2565278  -0.24257022 -0.1769604
  0.0568969   0.35672364  0.20038669  0.06716177  0.15863648  0.13330762
 -0.39817804  0.24575658  0.2364834  -0.0569218   0.13944745  0.02206136
  0.03006636  0.05231221  0.10635293 -0.10196265 -0.21061249  0.28773114
  0.00386443 -0.28014016 -0.18204263  0.1798562  -0.16115305 -0.08758183
  0.34574974 -0.021307   -0.4554676   0.08859673]"
28895363_62465600,28895363_62472824,"[-0.30649334  0.2589453  -0.23104043  0.39905834  0.5159538  -0.08127973
  0.61818135 -0.17194085 -0.24709748 -0.0127117  -0.18645915 -0.22942297
 -0.11694829  0.12104814  0.03522038 -0.23666096 -0.30882195 -0.27965188
 -0.12090272  0.2830514  -0.18146108  0.05002444  0.49076602 -0.08359107
 -0.09276181 -0.23388407  0.28956804  0.15347476  0.38425976  0.51808333
  0.30303085 -0.1525988  -0.00071903 -0.24925855 -0.16599387  0.09493545
 -0.1577986  -0.16820686 -0.09882766 -0.4468932  -0.15830748 -0.16418244
  0.283461    0.16512658 -0.0266634   0.08643387  0.03819198  0.08987535
 -0.1271332  -0.02838807  0.00397945  0.11610431  0.13606375 -0.24304265
 -0.15239693  0.18647325  0.20335424  0.43479502  0.1018316   0.14434174
  0.29861647  0.14879468  0.48047915  0.10383962  0.15820982  0.00724804
 -0.27244374 -0.5185108  -0.07307313 -0.07160826  0.15904821  0.44800425
  0.23102038 -0.24215469  0.28283602  0.01298539  0.25571007 -0.43080264
  0.27092332 -0.04669381 -0.13133486  0.19816512 -0.15641445  0.11487783
 -0.06893638  0.15138918 -0.379695   -0.03326585 -0.10260098  0.4165996
 -0.02945326 -0.25081497  0.10207373 -0.02330572 -0.05667011  0.03305111
  0.01206937  0.0907563  -0.3068852   0.0689299 ]","[-0.47915107 -0.05292087 -0.4297764   0.12076887 -0.27809137 -0.0465887
  0.34931004  0.43261486 -0.32934755 -0.08841708  0.06974857  0.03062035
  0.10564973  0.4413234   0.38230532  0.02572029 -0.16700436 -0.21050836
  0.08487719  0.30776793  0.12712495  0.0267515   0.2103686  -0.2917971
 -0.11117008  0.06615136 -0.12885235  0.01903325  0.29358542  0.30922937
 -0.0724308   0.11019162 -0.27426836 -0.10461088 -0.34894758 -0.06513076
 -0.1340159  -0.01239272  0.02916953 -0.34108564 -0.04276729 -0.07858484
  0.16637385  0.15325385 -0.04189759  0.15489641 -0.18542764  0.13860576
 -0.3067478  -0.26716122 -0.16992868  0.10080107  0.02861674 -0.20553076
 -0.20171313 -0.21696892  0.12213901  0.3207571  -0.11123041  0.10113805
  0.17271098 -0.14465514  0.08067093 -0.17324574  0.22752082 -0.00438934
 -0.07341123 -0.21681114  0.07499711  0.05025529 -0.01990057  0.32363698
  0.19143426  0.09038784  0.22060826  0.12534995  0.29383716 -0.198174
 -0.11295023  0.01011709 -0.04236779 -0.07971414 -0.05233312  0.02645674
 -0.06741893 -0.06928893  0.08193531 -0.14217451 -0.07991887  0.36451292
  0.05335809 -0.31648844  0.0035752  -0.069368   -0.10852195 -0.23140138
  0.23215687  0.02573989 -0.0501294   0.22573802]"
28929588_62470343,28929588_62469410,"[-0.2722824   0.21668978 -0.5454338   0.24373592  0.55082947 -0.0037113
  0.53497946 -0.21340916 -0.28558123 -0.01677365 -0.01542583  0.03959456
 -0.27031198  0.12315071 -0.09710453  0.16055952 -0.24619298  0.13127477
 -0.00272935  0.42636353  0.05427305  0.38955736  0.28822434 -0.16927952
  0.1929093  -0.01736729  0.50430006  0.11537696  0.44323736  0.43706906
  0.4107865   0.03166185  0.00373937 -0.13643354 -0.1454721   0.18482198
 -0.10062509 -0.45032465 -0.05240452 -0.15009065 -0.27165988 -0.05152432
 -0.17014743  0.04786064 -0.5356977   0.10059264 -0.22402021 -0.05097548
 -0.5311483  -0.14482617  0.18528526  0.48084402 -0.23547474 -0.11065213
 -0.48599523 -0.05528396 -0.13297802  0.18687348 -0.13900237  0.3318761
  0.52864903  0.12103561  0.50228024  0.08626945 -0.2461919  -0.35415548
 -0.08075814 -0.43748435 -0.17358816 -0.3779031  -0.21145496  0.4293246
  0.24075842  0.15825124  0.6264975   0.1849767   0.2906237  -0.45290452
 -0.12455279  0.43553886 -0.2916793  -0.10550187  0.01884001  0.11788708
  0.13871248  0.22584744 -0.13383466  0.21596831  0.10046165  0.45412043
 -0.13676056 -0.2100505  -0.02019562 -0.06237514 -0.3870098   0.37683937
 -0.12317256 -0.09007869 -0.80968654  0.13905963]","[-0.144175   -0.07290415 -0.5215375   0.15114146 -0.02624115  0.22569779
  0.2508447   0.03445501 -0.38023707 -0.03028234 -0.13137196 -0.08278953
  0.00850133  0.21543823  0.44211048  0.07806137  0.13840778 -0.15936443
 -0.01531387  0.4296074   0.15137036  0.13298306  0.07185427 -0.380172
 -0.13369824  0.18792161  0.01057681 -0.08817657  0.5006388   0.43799633
 -0.01350124  0.11003948  0.07571889 -0.0207921  -0.2682177   0.03407382
  0.08457892  0.16795263 -0.02683639 -0.2228746  -0.10026555 -0.13627696
  0.08294211  0.00431439 -0.12114511  0.1168317  -0.40861928  0.03501184
 -0.41263258 -0.11754452 -0.2634278  -0.10211588 -0.03513861  0.06035058
 -0.01709543 -0.2981683  -0.10395687  0.13842806 -0.20898591  0.11053021
  0.24111591  0.09918022  0.25847238 -0.04446121  0.3382725  -0.1730915
 -0.04966147 -0.2422767   0.0191101  -0.07326992 -0.24749672  0.04982547
  0.27612025 -0.18501426  0.30097947 -0.2254869   0.08290565 -0.37676555
  0.01193992  0.0008604  -0.18596195  0.02701622  0.13367984 -0.02369481
 -0.08512081  0.06145425  0.00111207 -0.01580123 -0.09196683  0.46387556
 -0.01267745 -0.19433758  0.17671658  0.20924346 -0.05341303 -0.26365885
  0.29759422  0.09382859 -0.06051916  0.05084334]"
28933361_62464761,28933361_62467859,,
