filename,Function_Return_type,Function_Params,Function_Name,Typedefs,Pointers,References,Arrays,Function_Calls
29618584_63999953.xml,b'signed\n',b'\n',['main'],"b'typedef long long ll;typedef long double ld;typedef vector &lt;int> vi;typedef vector &lt;ll> vll;typedef vector &lt;ld> vld;typedef vector &lt;string> vs;typedef pair &lt;int, int> pii;typedef pair &lt;ll, ll> pll;typedef vector &lt;vi > vvi;typedef vector &lt;vll > vvll;typedef vector &lt;pii > vpii;typedef vector &lt;pll > vpll;'",[],[],"[' int a N', ' b N']","[' ios_base :: sync_with_stdio 0', ' cin . tie 0', ' cout . tie 0', ' s . length ()', ' Ptest 0']"
29579543_64002824.xml,b'void\n',b'll& a\n',"['mul_mod', 'add_mod', 'solve', 'main']",b'typedef long long ll;',[],"[' ll & a', ' ll & a']","[' ll memo 100100', ' bool done 100100']","[' ll 1e9 + 7', ' add_mod memo i solve i + 1', ' solve i + 1', ' add_mod memo i solve i + 2', ' solve i + 2', ' s . l_ength ()', "" s . push_back '@'"", ' solve 0']"
29605117_64004827.xml,b'int\n',b'\n',['main'],b'typedef unsigned long long int ull;typedef long long int ll;typedef long double ld;typedef vector&lt;vector&lt;ll> > mat;',[],[],[' ll f N'],"[' ios_base :: sync_with_stdio false', ' s . length ()', ' ol ""0""', ' ol ans']"
29571979_64025086.xml,b'void\n',b'int p\n',"['build', 'cmp', 'dis', 'main']",b'typedef long long ll;',[],[],"[' int x M', ' y M', ' t M', ' q N', ' ti N << 2', ' ll arr maxn']","[' build p << 1 l mid', ' build p << 1 | 1 mid + 1 r', ' abs x i - x j', ' abs y i - y j', ' s . size ()', ' s . size ()']"
29609021_64003066.xml,b'int\n',b'int a\n',"['gcd', 'solve', 'main']",b'',[],[],[],"[' gcd b a % b', ' s . size ()', ' ios_base :: sync_with_stdio 0', ' cin . tie 0', ' cout . tie 0', ' solve ()']"
29600648_64007349.xml,b'long long&\n',b'const modint rhs\n',['main'],b'',[],"[' ostream & os', ' const modint & X', ' istream & is', ' modint & X']",[],"[' modint * this', ' modint * this', ' modint * this', ' modint * this', ' cin . tie 0', ' ios :: sync_with_stdio false', ' s . length ()', ' dp . back ()']"
29602260_64012835.xml,b'void\n',b'T a\n',"['dbg', 'dbg', 'main']",b'typedef long long ll;typedef double db;',[],[],"[' char s N', ' ll f N 2']","[' dbg x ...', ' scanf ""%s"" s + 1', ' strlen s + 1', ' printf ""0\\n""', ' printf ""%lld\\n"" ans']"
29590787_64006058.xml,b'signed\n',b'\n',['main'],b'',[],[],[' int dp 100005 2'],"[' ios_base :: sync_with_stdio false', ' cin . tie NULL', ' freopen ""INPUT.txt"" ""r"" stdin', ' freopen ""OUTPUT.txt"" ""w"" stdout', ' clock ()', ' s . length ()', ' clock ()', ' setprecision 6']"
29578555_64008154.xml,b'll\n',b'll a\n',"['ksm', 'C', 'calc', 'main']",b'',[],[],"[' f 100005', ' invf 100005']","[' C i l - i', ' ksm f i mod - 2', ' s . size ()', ' exit 0', ' s . size ()', ' calc len']"
29615915_64012146.xml,b'int\n',b'\n',['main'],b'typedef long long ll;',[],[],"[' int fib MAXN', ' char s MAXN']","[' scanf ""%s"" s + 1', ' strlen s + 1', ' puts ""0""', ' printf ""%d\\n"" ans']"
29615723_64016495.xml,b'll\n',b'll a\n',"['fpm', 'C', 'calc', 'main']",b'typedef long long ll;',[],[],"[' char s N + 10', ' ll fac N + 10', ' ifac N + 10']","[' C i n - i + 1', ' fpm fac N p - 2', ' scanf ""%s"" s + 1', ' strlen s + 1', ' printf ""0\\n""', ' calc cnt', ' calc cnt', ' calc cnt', ' calc cnt', ' printf ""%lld\\n"" ans']"
