A_name,B_name,A_vec,B_vec
28935009_62465009,28935009_62473099,,
28893286_62463719,28893286_62466315,,
28897193_62464139,28897193_62470474,,
28935782_62464261,28935782_62470357,"[-0.19579342  0.18394515  0.03391533  0.15637629  0.32899055  0.02730403
  0.29272375 -0.03921226  0.7062225  -0.47344285  0.05229345 -0.20852001
  0.09739651 -0.49538442 -0.36506018 -0.4296173   0.03108911  0.14170824
  0.2365502   0.11861499 -0.30454817  0.1139707   0.33007547  0.22145905
 -0.16728252 -0.19316426  0.48303002 -0.05372936 -0.11334983  0.35794827
 -0.12580742 -0.09579157 -0.06866637  0.07896686  0.32003525 -0.2103996
 -0.18122078 -0.47587442 -0.21185412  0.02907986 -0.01737029 -0.15516868
  0.4212249   0.11731116 -0.32336274 -0.41691992  0.19910896  0.15599094
 -0.12477051 -0.45884413  0.10709883 -0.12040241  0.16689917 -0.3329078
  0.09036607  0.49073365  0.42070383  0.00252032  0.2124898   0.1013341
  0.1701751  -0.11862233  0.26936463  0.16503936  0.2908318   0.11543956
 -0.15498173 -0.2358256  -0.49061713 -0.2012853   0.0243833   0.1081631
  0.2609042  -0.1299131  -0.03686711  0.35684907  0.01156927 -0.13962613
 -0.03800471 -0.10195586  0.22044243 -0.13966398 -0.39675254  0.2826247
 -0.11943377 -0.21359383 -0.22803877 -0.20780787 -0.00810326  0.00524145
 -0.1791298  -0.29849678  0.09257877  0.10946897  0.14663416  0.2540851
 -0.01928941 -0.00227156 -0.64271086 -0.05628265]","[-0.11852863  0.00522606  0.06984823  0.12108985 -0.16914193  0.00353801
  0.5000739   0.39893195  0.61170167 -0.20376988  0.08005853  0.27755293
 -0.02169288  0.12761295 -0.23821872 -0.18873678  0.39245072  0.08149562
  0.48050097  0.08946864 -0.00904304  0.08692321  0.04504821  0.19095296
 -0.20705448  0.07486665  0.07038574 -0.16819711  0.07156485  0.05748643
 -0.37969255  0.06948417 -0.1856162   0.19330727  0.0216074  -0.0051658
 -0.14636159 -0.37228543 -0.11186685 -0.08580241 -0.06583276  0.06887268
  0.26269093  0.15288876 -0.26216722 -0.23479125  0.31329495 -0.04985384
 -0.2622306  -0.4069107  -0.12051466 -0.26233363  0.22885972 -0.46460837
  0.04602289  0.10173319  0.44047567 -0.13406816 -0.08450574 -0.17089824
  0.25567397 -0.40126577  0.00490302 -0.00137476  0.36077008  0.15773271
 -0.00917874 -0.17695194 -0.22894645 -0.1535266   0.08593237  0.10286519
  0.4189979  -0.21745896 -0.25014013  0.29820406  0.18462124  0.12693247
 -0.2316349  -0.04136238  0.3067404  -0.2895199   0.06728517  0.2677189
  0.06260496 -0.23198411 -0.12789245 -0.24212903  0.14199339 -0.17560525
  0.03452237 -0.38820136  0.15847008  0.13360071  0.06180582  0.09958985
 -0.2458607  -0.33039865 -0.44880858 -0.0155136 ]"
28929121_62467007,28929121_62470711,,
28910790_62464756,28910790_62469056,,
28926863_62465850,28926863_62471842,"[-0.39336565  0.26663032  0.0206867   0.26685587  0.3519426   0.17894751
  0.4214245  -0.3024693   0.47495383 -0.10046322 -0.09744735 -0.18988854
 -0.07421516  0.17199865 -0.11904036  0.03445652  0.10112169  0.35036808
  0.42242512  0.23070818  0.15291256 -0.2076228   0.63411725 -0.17054613
 -0.1786697   0.14663428  0.6587016  -0.10963537  0.09779671  0.49446136
  0.08748324 -0.0449388   0.21799329  0.1515422  -0.22448544 -0.02536562
 -0.29588297 -0.19273783 -0.36773026  0.09681674 -0.13998255  0.13611963
 -0.16662608 -0.077067    0.1720359  -0.38504544  0.2741325   0.00842854
 -0.11748448 -0.5957746  -0.08842869 -0.07908943 -0.31707928 -0.3802375
  0.2643692   0.04805249  0.48251554  0.13852873  0.212603    0.1732096
  0.38547385 -0.57266736  0.16890827 -0.25931102  0.19467972 -0.1339475
  0.0699323  -0.26522264 -0.41597104 -0.13424897  0.12203181  0.44384384
  0.10381917 -0.6475443  -0.03573149 -0.11400272  0.29193464 -0.02517558
 -0.12886979 -0.17786898  0.02984175 -0.36955413  0.19843505  0.2378551
 -0.0080172   0.38355005 -0.21925569 -0.09746066 -0.16109157 -0.08546488
 -0.21461476 -0.2394307   0.0366011   0.46592855  0.31287843 -0.20574756
 -0.04234925  0.11611701 -0.2666849   0.21787149]","[-0.33939588  0.11134215 -0.01222276  0.18511356  0.07897175  0.18145272
  0.28991255 -0.13598016  0.38101414 -0.01909622 -0.07876141 -0.03777526
 -0.05596779  0.15598637 -0.02672964  0.01502422  0.21592139  0.32552636
  0.28177077  0.19915296  0.1567734  -0.3480892   0.47914115 -0.23274072
 -0.14955635  0.24847539  0.41370445 -0.11381054  0.07465596  0.48772353
 -0.09297095 -0.14319173 -0.01313636  0.28892604 -0.21828257  0.08247805
 -0.1694996  -0.04807949 -0.31381717  0.03316629 -0.16604045  0.23235136
 -0.07460781 -0.08840068  0.31969875 -0.3597997   0.12897949  0.04062283
 -0.18296912 -0.48970407 -0.17294116 -0.02459466 -0.19373603 -0.44930324
  0.30005506  0.01678262  0.47624242  0.06566245  0.07276456  0.14866364
  0.38009268 -0.48005453  0.2108415  -0.35422838  0.17115226  0.01075352
  0.07622434 -0.10503888 -0.26459703 -0.08554017  0.02328342  0.4083775
  0.29218912 -0.5164336  -0.10887675 -0.18733117  0.24018241 -0.025842
 -0.08681042 -0.21018879  0.10261459 -0.3553016   0.2975372   0.01869734
 -0.05292881  0.2513525  -0.12105399 -0.04985567 -0.1967194  -0.0531575
 -0.3114596  -0.21945089 -0.09390616  0.4768132   0.47088602 -0.18721254
  0.01564159  0.01500489 -0.10031819  0.0053976 ]"
28934227_62500007,28934227_-,"[-0.10603751  0.32925934  0.00736173  0.45926818  0.2509792   0.04684644
  0.5804696  -0.05060438 -0.16426377 -0.44091216  0.13243154  0.25477538
  0.24737151  0.07663995  0.10865457 -0.1566402   0.11394368 -0.09054668
  0.06477927  0.34295052  0.21372552  0.24090235  0.35443574 -0.07220978
 -0.05257682 -0.1301355   0.19457284  0.00157195  0.4599053   0.33462536
  0.16210726  0.04489544  0.08651949  0.01117924 -0.4019394  -0.02115556
  0.16261463 -0.09411499 -0.13712232 -0.29600486 -0.38785958 -0.21160267
 -0.0306398   0.08431891 -0.22961226  0.07679404  0.11625266 -0.16452482
 -0.08602583  0.00697522 -0.0474828  -0.17099282  0.18491396  0.15977205
 -0.07389607 -0.14051084 -0.0308187   0.15035738 -0.07710031  0.20665446
  0.3778972   0.12106158  0.13367477  0.21861883  0.33422238 -0.17935619
 -0.12714905 -0.29272667 -0.3563371  -0.09936371 -0.13067052  0.06253961
  0.17800383 -0.3200207   0.44001332  0.06926014  0.29646578 -0.5183814
  0.20765847 -0.19857211 -0.24489418 -0.02901307 -0.13273661  0.05257501
 -0.1944159   0.00884387 -0.04348848 -0.01781326 -0.04093141  0.41942942
 -0.02492123 -0.17064802  0.18995656  0.11601049 -0.20985255 -0.14186051
 -0.21342568  0.18015276 -0.4144889   0.2557923 ]","[-3.79819214e-01  1.25335231e-01 -2.26404026e-01  3.09637282e-02
 -2.84294754e-01  1.08571783e-01  1.84372380e-01  4.30912197e-01
 -7.73714185e-02 -5.53979158e-01  2.89255202e-01  1.99451193e-01
  1.76543608e-01  2.86381185e-01  2.68947244e-01 -8.69173557e-02
  1.63953438e-01 -1.29341051e-01  2.25649308e-02  3.98701519e-01
  2.29580000e-01  1.53452888e-01  1.84205934e-01 -3.52236986e-01
 -1.47266373e-01 -7.42698684e-02 -1.02346517e-01 -8.68262649e-02
  3.06761444e-01  4.93564487e-01 -1.77708536e-01  1.41653791e-01
 -2.19297647e-01  1.28190726e-01 -3.65626127e-01 -1.15246236e-01
  1.31837621e-01 -5.48086688e-02  5.04963771e-02 -1.66834712e-01
 -3.04452479e-01 -3.56507957e-01  8.36207047e-02  1.20301321e-01
 -8.34464282e-02  1.19859800e-01 -1.36643305e-01  5.25765121e-02
 -3.32157165e-01 -2.10730180e-01 -3.10654700e-01 -2.70921029e-02
  1.07885383e-01 -2.54599780e-01 -4.32140529e-02 -1.15283668e-01
  1.03123039e-01  1.64017960e-01  8.14243704e-02  9.13853869e-02
  2.58118689e-01 -3.50492857e-02  5.26533520e-04  3.67208533e-02
  2.05739886e-01 -8.35659206e-02 -1.49395406e-01 -1.21795259e-01
 -1.95398763e-01  2.15764306e-02 -2.83321947e-01  7.04002082e-02
  3.60460728e-01  9.45881680e-02  3.07892472e-01  1.10204428e-01
  2.92285681e-01 -3.30227286e-01 -2.40964562e-01 -1.70493498e-01
  5.20362444e-02 -1.50886327e-01 -2.52314687e-01 -7.26753753e-03
 -1.33354008e-01 -1.79179102e-01  2.12152228e-01 -9.79961753e-02
 -1.66522294e-01  5.59324503e-01 -2.12969817e-02 -2.10490525e-01
 -6.97150975e-02  2.66642198e-02  4.36418839e-02 -2.65419811e-01
  4.19077128e-02  1.01118416e-01 -2.56959647e-01  1.17105223e-01]"
28895723_62464727,28895723_62472905,"[-3.02974015e-01  2.92049021e-01  2.44564358e-02  3.86690080e-01
  4.61545616e-01 -1.82339847e-01  3.23859721e-01 -3.00328344e-01
  6.90012753e-01 -3.70775372e-01 -2.17838317e-01 -2.10230991e-01
  1.60955504e-01 -5.81351399e-01 -2.82047689e-01 -2.42121771e-01
  1.08093180e-01  3.98390234e-01  4.05732483e-01  1.50965512e-01
 -2.44076759e-01 -7.47415572e-02  1.48864180e-01  1.98205099e-01
 -3.40609133e-01  4.35230359e-02  4.08810407e-01  1.11302331e-01
 -1.30218431e-01  1.83632970e-01  4.02856261e-01 -2.59835780e-01
 -2.77822800e-02  1.75030410e-01  1.84843794e-01 -2.01755002e-01
 -1.63241044e-01 -3.27340692e-01 -3.11752349e-01 -7.35985264e-02
  1.34281486e-01 -1.38411716e-01  2.38263950e-01  1.41501531e-01
 -5.19585013e-01 -3.47548127e-01  6.65981397e-02 -8.19688663e-02
 -1.46904603e-01 -4.73850697e-01  3.24500710e-01 -6.88847676e-02
  1.48913443e-01 -8.41840804e-02  4.41037584e-04  4.23273772e-01
  4.72722679e-01 -3.46260349e-04  4.41666245e-02  5.13099253e-01
 -4.35674377e-03 -1.09351359e-01  2.31735051e-01  6.74344525e-02
  2.24214256e-01  2.02654302e-01 -1.14338368e-01 -7.79688880e-02
 -4.86677289e-01 -2.23765120e-01  2.87265122e-01  1.30505681e-01
  6.62695104e-03 -2.59421051e-01  4.64505889e-02  3.17056268e-01
  1.11024387e-01  4.26370129e-02 -3.04733247e-01 -8.78543258e-02
  5.26158400e-02 -1.71842560e-01 -7.06942156e-02  2.14668170e-01
  4.02381346e-02  8.41465220e-02 -3.64404202e-01 -1.35212243e-01
 -2.15628505e-01  7.99541175e-03 -2.68624544e-01 -3.98558453e-02
 -1.39981043e-02  2.01535687e-01  3.03655323e-02  1.69238284e-01
  1.04225755e-01 -1.29043147e-01 -6.00510359e-01  1.91911627e-02]","[-0.29134053  0.12410896  0.10620544  0.28319228 -0.17035593 -0.06796105
  0.45968187  0.24376953  0.55168307 -0.08798781 -0.1749686   0.19976473
 -0.03700437  0.10859148 -0.17985427 -0.10637089  0.5490811   0.24699695
  0.53413963  0.14370108 -0.05406368 -0.0933596  -0.11751513  0.0613275
 -0.34209743  0.37993926 -0.06052697  0.04018671  0.061249   -0.0252714
  0.04651337  0.02869489 -0.2168862   0.15258688 -0.01293846  0.05757805
 -0.22499013 -0.30261847 -0.08170289 -0.17214203  0.00599407  0.09672273
  0.1958715   0.2584157  -0.42471445 -0.17577861  0.13434377 -0.19826663
 -0.33611107 -0.37071443  0.12413069 -0.21896072  0.20798835 -0.25911415
  0.00681968  0.24255657  0.46114847 -0.08660422 -0.24902834  0.10255411
  0.09225123 -0.33478478  0.07139577 -0.19644132  0.21858329  0.20016633
 -0.02892853 -0.08683842 -0.25574374 -0.06068876  0.3287816   0.30819237
  0.21243675 -0.33376378 -0.14543837  0.10261288  0.31540912  0.2627305
 -0.48447734 -0.12416562  0.20889206 -0.41061065  0.43662846  0.16128317
  0.12153606 -0.05756373 -0.17682457 -0.19948877 -0.00476222 -0.15727761
 -0.07781956 -0.23051699  0.05402369  0.14240721  0.0469701   0.09690124
 -0.2115203  -0.4546441  -0.38205284  0.04576209]"
28908645_62465685,28908645_62468893,"[-0.4701117  -0.06646509 -0.34027383  0.4495754   0.44294992  0.11461899
  0.73802495 -0.27999768  0.06532546  0.03408507 -0.20369042 -0.33404928
 -0.2640827   0.14419232  0.06036491 -0.26191935 -0.07700144 -0.47164303
  0.20153864  0.44110465 -0.2736403   0.05552383  0.35945585 -0.1510332
 -0.1623763  -0.19538777  0.251955   -0.02664553  0.32795393  0.14694594
  0.10690686 -0.0997278   0.15476081 -0.27372092 -0.18431872  0.02332304
 -0.24390584 -0.22071536 -0.21604542 -0.23538539  0.05945657 -0.05050997
 -0.03802485  0.13619553  0.09623009  0.19345838  0.1015482   0.09314886
 -0.14841966 -0.66544485 -0.07701999 -0.13447957  0.23803131 -0.19255218
 -0.0367001   0.10876522  0.295478    0.4145264   0.06140175  0.17725442
  0.19596319 -0.3225567   0.09296387  0.28941938  0.37033606 -0.03073462
 -0.17789946 -0.40472966 -0.05951172 -0.13122492  0.1515039   0.2823382
  0.27884024 -0.2543076   0.36009747  0.19060397  0.33919248 -0.1386249
  0.02345912 -0.02014402  0.18381865  0.01213494 -0.00274582  0.34657198
 -0.25593805  0.1277359  -0.15494466  0.14167881 -0.07642952  0.25716242
  0.02257236 -0.28327838  0.08252188  0.08756303  0.1527302  -0.03585835
 -0.13182065  0.01841166 -0.3782176   0.16380435]","[-0.19013736 -0.14931175 -0.09574234  0.12580325 -0.6138317   0.16377504
  0.03255681  0.26064083  0.23633859  0.2081469  -0.20835635  0.02964831
  0.29626492 -0.22997849  0.30065265  0.05803681  0.5135044  -0.12509665
  0.02029785 -0.03791924  0.31786886 -0.09051672  0.12579411 -0.30531347
  0.18827088  0.2615878   0.08538505 -0.19515084  0.6958624  -0.18139403
 -0.50570464  0.03057014 -0.28297892  0.04008907 -0.00880159 -0.15773751
  0.02283144 -0.24885994 -0.02853215 -0.17785218  0.24550971  0.05622853
  0.30195144  0.03531944  0.09907994 -0.13239822 -0.12663743 -0.52457136
 -0.33459267 -0.4832604  -0.01956817 -0.18265308  0.39417216 -0.23415317
  0.4566256  -0.08414053  0.06212613 -0.24418627  0.1591689  -0.08145747
  0.09374128 -0.08381882 -0.20448458  0.08618122  0.13090329  0.26659384
 -0.23905696  0.07293119  0.06067004 -0.11964265 -0.5144125  -0.33460793
  0.40687683 -0.16735612  0.03079914  0.10839301  0.094484   -0.06906159
 -0.09849819 -0.04204167 -0.1257956   0.0783528   0.28803462  0.20101169
 -0.21081738 -0.32503167  0.01324511 -0.2525377  -0.1184134   0.31363583
 -0.19066976 -0.48516718 -0.19713129  0.17462546  0.32861707 -0.03305546
 -0.28042385 -0.06103548 -0.32491046 -0.05865959]"
