,29585141_64009657.xml,29569385_64012504.xml,29614465_64016919.xml,29618502_64006170.xml,29602260_64012835.xml,29614627_64014011.xml,29578897_64005252.xml,29606653_64006158.xml,29617283_64009545.xml,29611354_64009534.xml,29578467_64008466.xml,29612308_64007669.xml,29597395_64017732.xml,29598306_64011889.xml,29603558_64011542.xml,29610206_64022314.xml,29608101_64010953.xml,29566593_64011652.xml,29613618_64005019.xml,29564628_64006746.xml
29585141_64009657.xml,0,323,296,334,352,323,301,312,332,319,312,339,305,708,342,274,361,357,318,362
29569385_64012504.xml,323,0,310,309,313,272,283,282,301,293,308,286,288,708,294,257,326,323,286,311
29614465_64016919.xml,296,310,0,271,284,234,234,293,280,286,272,323,246,711,315,246,297,292,242,278
29618502_64006170.xml,334,309,271,0,253,269,229,261,240,240,246,295,255,732,295,278,253,247,257,258
29602260_64012835.xml,352,313,284,253,0,296,184,218,188,187,196,287,232,770,279,229,138,195,253,184
29614627_64014011.xml,323,272,234,269,296,0,236,284,264,267,269,332,264,721,301,241,293,276,233,272
29578897_64005252.xml,301,283,234,229,184,236,0,196,169,172,199,259,175,746,246,212,172,171,167,190
29606653_64006158.xml,312,282,293,261,218,284,196,0,223,188,227,259,227,725,249,239,215,225,238,221
29617283_64009545.xml,332,301,280,240,188,264,169,223,0,169,211,274,208,759,266,267,164,196,252,180
29611354_64009534.xml,319,293,286,240,187,267,172,188,169,0,174,260,167,763,250,257,161,168,260,160
29578467_64008466.xml,312,308,272,246,196,269,199,227,211,174,0,288,213,717,250,261,183,211,266,226
29612308_64007669.xml,339,286,323,295,287,332,259,259,274,260,288,0,287,704,290,284,293,291,290,298
29597395_64017732.xml,305,288,246,255,232,264,175,227,208,167,213,287,0,771,290,258,174,188,262,190
29598306_64011889.xml,708,708,711,732,770,721,746,725,759,763,717,704,771,0,704,708,785,788,721,779
29603558_64011542.xml,342,294,315,295,279,301,246,249,266,250,250,290,290,704,0,294,284,283,282,276
29610206_64022314.xml,274,257,246,278,229,241,212,239,267,257,261,284,258,708,294,0,257,286,215,277
29608101_64010953.xml,361,326,297,253,138,293,172,215,164,161,183,293,174,785,284,257,0,179,265,134
29566593_64011652.xml,357,323,292,247,195,276,171,225,196,168,211,291,188,788,283,286,179,0,233,176
29613618_64005019.xml,318,286,242,257,253,233,167,238,252,260,266,290,262,721,282,215,265,233,0,238
29564628_64006746.xml,362,311,278,258,184,272,190,221,180,160,226,298,190,779,276,277,134,176,238,0
