,29058912_62784582.xml,29053879_62784627.xml,29088469_62784321.xml,29091733_62799939.xml,29090440_62784596.xml,29089658_62790291.xml,29071421_62784215.xml,29050098_62784720.xml,29086779_62784976.xml,29068052_62784750.xml,29089225_62789202.xml,29089816_62784223.xml,29066004_62786058.xml,29090996_62786478.xml,29065111_62785580.xml,29087473_62786516.xml,29083820_62785015.xml,29085153_62784803.xml,29066736_62784968.xml,29057110_62784916.xml
29058912_62784582.xml,0.0,175.0,151.0,120.0,84.0,129.0,743.0,570.0,143.0,514.0,512.0,144.0,117.0,210.0,467.0,211.0,127.0,148.0,1212.0,143.0
29053879_62784627.xml,175.0,0.0,159.0,195.0,193.0,199.0,665.0,526.0,210.0,481.0,457.0,162.0,199.0,228.0,436.0,192.0,169.0,174.0,1141.0,202.0
29088469_62784321.xml,151.0,159.0,0.0,185.0,178.0,217.0,654.0,506.0,182.0,489.0,448.0,164.0,206.0,241.0,385.0,229.0,190.0,153.0,1112.0,193.0
29091733_62799939.xml,120.0,195.0,185.0,0.0,130.0,74.0,762.0,603.0,98.0,563.0,544.0,165.0,103.0,237.0,486.0,232.0,139.0,165.0,1235.0,175.0
29090440_62784596.xml,84.0,193.0,178.0,130.0,0.0,108.0,772.0,582.0,140.0,560.0,542.0,153.0,136.0,217.0,477.0,226.0,135.0,179.0,1230.0,153.0
29089658_62790291.xml,129.0,199.0,217.0,74.0,108.0,0.0,774.0,593.0,124.0,553.0,543.0,162.0,99.0,216.0,465.0,220.0,130.0,171.0,1232.0,178.0
29071421_62784215.xml,743.0,665.0,654.0,762.0,772.0,774.0,0.0,534.0,745.0,621.0,571.0,719.0,757.0,678.0,593.0,688.0,750.0,699.0,956.0,701.0
29050098_62784720.xml,570.0,526.0,506.0,603.0,582.0,593.0,534.0,0.0,560.0,472.0,487.0,530.0,580.0,492.0,496.0,534.0,564.0,536.0,983.0,528.0
29086779_62784976.xml,143.0,210.0,182.0,98.0,140.0,124.0,745.0,560.0,0.0,532.0,500.0,174.0,128.0,221.0,461.0,233.0,174.0,148.0,1206.0,154.0
29068052_62784750.xml,514.0,481.0,489.0,563.0,560.0,553.0,621.0,472.0,532.0,0.0,500.0,505.0,537.0,458.0,445.0,498.0,537.0,497.0,1028.0,490.0
29089225_62789202.xml,512.0,457.0,448.0,544.0,542.0,543.0,571.0,487.0,500.0,500.0,0.0,484.0,530.0,479.0,429.0,466.0,517.0,450.0,979.0,482.0
29089816_62784223.xml,144.0,162.0,164.0,165.0,153.0,162.0,719.0,530.0,174.0,505.0,484.0,0.0,157.0,201.0,429.0,199.0,142.0,156.0,1185.0,172.0
29066004_62786058.xml,117.0,199.0,206.0,103.0,136.0,99.0,757.0,580.0,128.0,537.0,530.0,157.0,0.0,220.0,463.0,223.0,150.0,165.0,1219.0,182.0
29090996_62786478.xml,210.0,228.0,241.0,237.0,217.0,216.0,678.0,492.0,221.0,458.0,479.0,201.0,220.0,0.0,428.0,230.0,214.0,219.0,1124.0,219.0
29065111_62785580.xml,467.0,436.0,385.0,486.0,477.0,465.0,593.0,496.0,461.0,445.0,429.0,429.0,463.0,428.0,0.0,410.0,452.0,424.0,1014.0,419.0
29087473_62786516.xml,211.0,192.0,229.0,232.0,226.0,220.0,688.0,534.0,233.0,498.0,466.0,199.0,223.0,230.0,410.0,0.0,212.0,207.0,1137.0,221.0
29083820_62785015.xml,127.0,169.0,190.0,139.0,135.0,130.0,750.0,564.0,174.0,537.0,517.0,142.0,150.0,214.0,452.0,212.0,0.0,151.0,1211.0,178.0
29085153_62784803.xml,148.0,174.0,153.0,165.0,179.0,171.0,699.0,536.0,148.0,497.0,450.0,156.0,165.0,219.0,424.0,207.0,151.0,0.0,1155.0,162.0
29066736_62784968.xml,1212.0,1141.0,1112.0,1235.0,1230.0,1232.0,956.0,983.0,1206.0,1028.0,979.0,1185.0,1219.0,1124.0,1014.0,1137.0,1211.0,1155.0,0.0,1169.0
29057110_62784916.xml,143.0,202.0,193.0,175.0,153.0,178.0,701.0,528.0,154.0,490.0,482.0,172.0,182.0,219.0,419.0,221.0,178.0,162.0,1169.0,0.0
