filename,Function_Return_type,Function_Params,Function_Name,Typedefs,Pointers,References,Arrays,Function_Calls
29055529_62791538.xml,b'int\n',b'int a\n',"['us', 'main']",b'',[],[],[],"[' us a x / 2', ' ios_base :: sync_with_stdio false', ' cin . tie NULL', ' us 2 m', ' us q n']"
29051399_62790147.xml,b'void\n',b'T &x\n',"['read', 'wrip', 'write', 'reads', 'pw', 'main']","b'typedef const int csint;typedef long long ll;typedef long double ld;typedef pair &lt;int, ll> ii;'",[],"[' T & x', ' string & s']",[],"[' isdigit c = getchar ()', ' getchar ()', ' getchar ()', ' isdigit c = getchar ()', ' getchar ()', ' wrip x / 10', ' putchar x % 10 + 48', "" putchar '-'"", ' wrip x', ' isalpha c = getchar ()', ' getchar ()', ' isalpha c = getchar ()', ' getchar ()', ' pw a b / 2', ' ios_base :: sync_with_stdio 0', ' cin . tie 0', ' cout . tie 0', ' freopen ""m.inp"" ""r"" stdin', ' freopen ""m.out"" ""w"" stdout', ' pw 2 m', ' pw m n']"
29058660_62788523.xml,b'ostream&\n',b'ostream& out\n',"['operator', 'operator', 'operator', 'power', 'main']",b'',[],"[' ostream & out', ' const pair A B & a', ' ostream & os', ' const vector int & v', ' ostream & os', ' const vector T & v']",[],"[' v . size ()', ' v . size ()', ' v . size ()', ' v . size ()', ' power 2 m MOD', ' power a n MOD']"
29074609_62790939.xml,b'I\n',b'const int&x\n',"['getint', 'max', 'input', 'init', 'work', 'main']",b'',[],"[' const int & x', ' const int & y']","[' char _buf 100000', ' static const int flag 2 1 - 1', ' int a N N']","[' isnum _ch', ' isnum _ch', ' getint ()']"
29090365_62797516.xml,b'int\n',b'll a\n',"['fastexp', 'main']",b'typedef long long ll;',[],[],[],"[' ios_base :: sync_with_stdio 0', ' cin . tie 0', ' swap n m', ' fastexp 2 n', ' fastexp ans m']"
29088060_62799095.xml,b'int\n',b'\n',['main'],"b'typedef long long ll;typedef unsigned long long ull;typedef double rl;typedef pair&lt;int, int> pii;typedef pair&lt;ll, ll> pll;'",[],[],[' int res MX MX'],[]
29091032_62794017.xml,b'll\n',b'll x\n',"['exp', 'main']",b'',[],[],[],[' vector int n']
29076347_62787705.xml,b'int\n',b'int a\n',"['powmod', 'input', 'solve', 'output', 'main']",b'typedef long long ll;typedef long double ld;',[],[],[],"[' powmod a b / 2', ' powmod powmod 2 m - 1 n', ' powmod 2 m', ' ios_base :: sync_with_stdio false', ' input ()', ' solve ()', ' output ()']"
29049379_62785616.xml,b'int\n',b'\n',['main'],b'typedef long long LL;',[],[],[],"[' min c / 2 b', ' min b / 2 a']"
29075827_62786557.xml,b'int\n',b'\n',['main'],b'',[],[],[],"[' min c / 2 b', ' min a b / 2']"
