,29619220_64010153.xml,29563414_64001865.xml,29618150_64010617.xml,29591970_64020446.xml,29597445_64002703.xml,29618334_64007240.xml,29614498_63999164.xml,29618124_64010499.xml,29618760_64016501.xml,29619993_64015166.xml,29564404_64007918.xml,29588001_64014404.xml,29615733_64013253.xml,29590017_64006273.xml,29593205_64010264.xml,29618962_64013226.xml,29574782_64003681.xml,29581196_64004949.xml,29618114_64006493.xml,29607443_64004819.xml
29619220_64010153.xml,0,183,213,212,231,216,198,235,326,238,371,223,185,315,252,167,204,263,211,257
29563414_64001865.xml,183,0,196,211,208,184,188,189,330,219,379,215,184,293,240,146,206,272,173,263
29618150_64010617.xml,213,196,0,235,255,227,201,253,350,246,388,221,223,322,242,207,220,274,225,263
29591970_64020446.xml,212,211,235,0,228,193,205,202,323,225,374,231,163,307,252,185,211,257,205,281
29597445_64002703.xml,231,208,255,228,0,162,232,233,330,217,360,226,234,331,242,198,238,283,199,286
29618334_64007240.xml,216,184,227,193,162,0,167,177,319,223,390,205,177,287,246,157,178,275,184,266
29614498_63999164.xml,198,188,201,205,232,167,0,229,340,234,394,202,189,326,244,194,165,256,203,264
29618124_64010499.xml,235,189,253,202,233,177,229,0,334,231,384,232,183,299,257,174,233,253,140,297
29618760_64016501.xml,326,330,350,323,330,319,340,334,0,343,386,300,307,351,339,317,310,325,323,331
29619993_64015166.xml,238,219,246,225,217,223,234,231,343,0,405,246,224,329,279,198,257,303,230,294
29564404_64007918.xml,371,379,388,374,360,390,394,384,386,405,0,372,378,413,382,378,357,377,390,406
29588001_64014404.xml,223,215,221,231,226,205,202,232,300,246,372,0,173,313,244,209,181,272,207,275
29615733_64013253.xml,185,184,223,163,234,177,189,183,307,224,378,173,0,296,242,144,195,265,188,281
29590017_64006273.xml,315,293,322,307,331,287,326,299,351,329,413,313,296,0,312,303,317,343,301,330
29593205_64010264.xml,252,240,242,252,242,246,244,257,339,279,382,244,242,312,0,247,253,277,249,269
29618962_64013226.xml,167,146,207,185,198,157,194,174,317,198,378,209,144,303,247,0,199,270,165,262
29574782_64003681.xml,204,206,220,211,238,178,165,233,310,257,357,181,195,317,253,199,0,246,212,263
29581196_64004949.xml,263,272,274,257,283,275,256,253,325,303,377,272,265,343,277,270,246,0,256,329
29618114_64006493.xml,211,173,225,205,199,184,203,140,323,230,390,207,188,301,249,165,212,256,0,281
29607443_64004819.xml,257,263,263,281,286,266,264,297,331,294,406,275,281,330,269,262,263,329,281,0
